accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,heldout_seed,interaction_mode,loss,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_train_seeds,static_mode_from_train_seeds,test_samples,total_objects_n,train_reranker_loss,train_seed_count,train_static_loss,validation_samples_per_seed
0.511111,0.962886,0.411111,4,8,-0.005633,0.0,4,0.511111,0.957253,1.0,17,pairwise,0.957253,generated_oracle,40,600,400,0.005,,17,0.088889,0.233333,0.111111,0.155556,0.588889,0.288889,0.033333,0.011111,0.077778,indexed,indexed,90,2048,0.957015,4,0.986334,180
0.533333,0.973841,0.177778,4,8,0.028924,0.03599,4,0.644444,0.966774,0.022222,19,pairwise,1.002764,cross_seed_static_base_choice,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.955043,4,0.984309,180
0.544444,0.973841,0.0,4,8,0.027033,0.0341,4,0.644444,0.966774,0.044444,19,pairwise,1.000874,cross_seed_static_generated_choice,40,600,400,0.005,,19,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.955043,4,0.984309,180
0.533333,0.973841,0.288889,4,8,0.027147,0.034214,4,0.644444,0.966774,0.3,19,pairwise,1.000988,cross_seed_generated_reranker,40,600,400,0.005,,19,0.055556,0.222222,0.055556,0.022222,0.355556,0.455556,0.077778,0.011111,0.1,generated_2,interaction,90,2048,0.955043,4,0.984309,180
0.533333,0.973841,0.288889,4,8,0.027147,0.034214,4,0.644444,0.966774,0.3,19,pairwise,1.000988,cross_seed_margin_safe_reranker,40,600,400,0.005,1,19,0.055556,0.222222,0.055556,0.022222,0.355556,0.455556,0.077778,0.011111,0.1,generated_2,interaction,90,2048,0.955043,4,0.984309,180
0.622222,0.973841,1.0,4,8,0.0,0.007066,4,0.644444,0.966774,0.555556,19,pairwise,0.973841,base_oracle,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.5,0.177778,0.022222,0.3,generated_2,interaction,90,2048,0.955043,4,0.984309,180
0.644444,0.973841,0.555556,4,8,-0.007066,0.0,4,0.644444,0.966774,1.0,19,pairwise,0.966774,generated_oracle,40,600,400,0.005,,19,0.044444,0.311111,0.044444,0.044444,0.444444,0.444444,0.022222,0.0,0.088889,generated_2,interaction,90,2048,0.955043,4,0.984309,180
0.544444,0.960229,0.177778,4,8,0.036391,0.045348,4,0.6,0.951272,0.0,23,pairwise,0.99662,cross_seed_static_base_choice,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.949949,4,0.973633,180
0.533333,0.960229,0.0,4,8,0.036788,0.045745,4,0.6,0.951272,0.055556,23,pairwise,0.997017,cross_seed_static_generated_choice,40,600,400,0.005,,23,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.949949,4,0.973633,180
0.544444,0.960229,0.244444,4,8,0.047345,0.056302,4,0.6,0.951272,0.255556,23,pairwise,1.007574,cross_seed_generated_reranker,40,600,400,0.005,,23,0.077778,0.244444,0.077778,0.022222,0.422222,0.366667,0.044444,0.011111,0.155556,generated_2,interaction,90,2048,0.949949,4,0.973633,180
0.544444,0.960229,0.244444,4,8,0.047345,0.056302,4,0.6,0.951272,0.255556,23,pairwise,1.007574,cross_seed_margin_safe_reranker,40,600,400,0.005,1,23,0.077778,0.244444,0.077778,0.022222,0.422222,0.366667,0.044444,0.011111,0.155556,generated_2,interaction,90,2048,0.949949,4,0.973633,180
0.6,0.960229,1.0,4,8,0.0,0.008957,4,0.6,0.951272,0.644444,23,pairwise,0.960229,base_oracle,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.533333,0.177778,0.033333,0.255556,generated_2,interaction,90,2048,0.949949,4,0.973633,180
0.6,0.960229,0.644444,4,8,-0.008957,0.0,4,0.6,0.951272,1.0,23,pairwise,0.951272,generated_oracle,40,600,400,0.005,,23,0.011111,0.266667,0.055556,0.022222,0.355556,0.522222,0.0,0.0,0.122222,generated_2,interaction,90,2048,0.949949,4,0.973633,180
0.5,0.943108,0.022222,4,16,0.028712,0.036723,4,0.544444,0.935098,0.011111,11,pairwise,0.971821,cross_seed_static_base_choice,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.865403,4,0.912281,180
0.466667,0.943108,0.0,4,16,0.036222,0.044233,4,0.544444,0.935098,0.077778,11,pairwise,0.97933,cross_seed_static_generated_choice,40,600,400,0.005,,11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.865403,4,0.912281,180
0.466667,0.943108,0.255556,4,16,0.038297,0.046308,4,0.544444,0.935098,0.2,11,pairwise,0.981406,cross_seed_generated_reranker,40,600,400,0.005,,11,0.033333,0.2,0.088889,0.011111,0.333333,0.333333,0.022222,0.011111,0.3,generated_2,learned,90,2048,0.865403,4,0.912281,180
0.466667,0.943108,0.255556,4,16,0.038297,0.046308,4,0.544444,0.935098,0.2,11,pairwise,0.981406,cross_seed_margin_safe_reranker,40,600,400,0.005,1,11,0.033333,0.2,0.088889,0.011111,0.333333,0.333333,0.022222,0.011111,0.3,generated_2,learned,90,2048,0.865403,4,0.912281,180
0.522222,0.943108,1.0,4,16,0.0,0.008011,4,0.544444,0.935098,0.533333,11,pairwise,0.943108,base_oracle,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.377778,0.233333,0.022222,0.366667,generated_2,learned,90,2048,0.865403,4,0.912281,180
0.544444,0.943108,0.533333,4,16,-0.008011,0.0,4,0.544444,0.935098,1.0,11,pairwise,0.935098,generated_oracle,40,600,400,0.005,,11,0.033333,0.3,0.077778,0.055556,0.466667,0.344444,0.022222,0.011111,0.155556,generated_2,learned,90,2048,0.865403,4,0.912281,180
0.522222,0.904589,0.033333,4,16,0.041239,0.056724,4,0.555556,0.889104,0.0,13,pairwise,0.945828,cross_seed_static_base_choice,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.86933,4,0.909903,180
0.511111,0.904589,0.0,4,16,0.042387,0.057872,4,0.555556,0.889104,0.055556,13,pairwise,0.946976,cross_seed_static_generated_choice,40,600,400,0.005,,13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.86933,4,0.909903,180
0.511111,0.904589,0.233333,4,16,0.05463,0.070115,4,0.555556,0.889104,0.311111,13,pairwise,0.959219,cross_seed_generated_reranker,40,600,400,0.005,,13,0.055556,0.277778,0.055556,0.0,0.388889,0.466667,0.011111,0.0,0.133333,generated_2,learned,90,2048,0.86933,4,0.909903,180
0.511111,0.904589,0.233333,4,16,0.05463,0.070115,4,0.555556,0.889104,0.311111,13,pairwise,0.959219,cross_seed_margin_safe_reranker,40,600,400,0.005,1,13,0.055556,0.277778,0.055556,0.0,0.388889,0.466667,0.011111,0.0,0.133333,generated_2,learned,90,2048,0.86933,4,0.909903,180
0.544444,0.904589,1.0,4,16,0.0,0.015485,4,0.555556,0.889104,0.566667,13,pairwise,0.904589,base_oracle,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.4,0.155556,0.033333,0.411111,generated_2,learned,90,2048,0.86933,4,0.909903,180
0.555556,0.904589,0.566667,4,16,-0.015485,0.0,4,0.555556,0.889104,1.0,13,pairwise,0.889104,generated_oracle,40,600,400,0.005,,13,0.033333,0.322222,0.055556,0.022222,0.433333,0.366667,0.011111,0.0,0.188889,generated_2,learned,90,2048,0.86933,4,0.909903,180
0.5,0.905333,0.022222,4,16,0.026644,0.030557,4,0.522222,0.901421,0.0,17,pairwise,0.931978,cross_seed_static_base_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.857467,4,0.907513,180
0.488889,0.905333,0.0,4,16,0.025432,0.029344,4,0.522222,0.901421,0.066667,17,pairwise,0.930765,cross_seed_static_generated_choice,40,600,400,0.005,,17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.857467,4,0.907513,180
0.488889,0.905333,0.233333,4,16,0.025169,0.029082,4,0.522222,0.901421,0.322222,17,pairwise,0.930502,cross_seed_generated_reranker,40,600,400,0.005,,17,0.033333,0.344444,0.055556,0.0,0.433333,0.4,0.044444,0.011111,0.111111,generated_2,learned,90,2048,0.857467,4,0.907513,180
0.488889,0.905333,0.233333,4,16,0.025169,0.029082,4,0.522222,0.901421,0.322222,17,pairwise,0.930502,cross_seed_margin_safe_reranker,40,600,400,0.005,1,17,0.033333,0.344444,0.055556,0.0,0.433333,0.4,0.044444,0.011111,0.111111,generated_2,learned,90,2048,0.857467,4,0.907513,180
0.522222,0.905333,1.0,4,16,0.0,0.003913,4,0.522222,0.901421,0.455556,17,pairwise,0.905333,base_oracle,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.355556,0.244444,0.022222,0.377778,generated_2,learned,90,2048,0.857467,4,0.907513,180
0.522222,0.905333,0.455556,4,16,-0.003913,0.0,4,0.522222,0.901421,1.0,17,pairwise,0.901421,generated_oracle,40,600,400,0.005,,17,0.111111,0.266667,0.066667,0.1,0.544444,0.333333,0.011111,0.0,0.111111,generated_2,learned,90,2048,0.857467,4,0.907513,180
0.488889,0.9361,0.022222,4,16,0.036851,0.043424,4,0.611111,0.929527,0.0,19,pairwise,0.972951,cross_seed_static_base_choice,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.874632,4,0.923252,180
0.511111,0.9361,0.0,4,16,0.038385,0.044958,4,0.611111,0.929527,0.088889,19,pairwise,0.974485,cross_seed_static_generated_choice,40,600,400,0.005,,19,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.874632,4,0.923252,180
0.522222,0.9361,0.277778,4,16,0.030787,0.037361,4,0.611111,0.929527,0.333333,19,pairwise,0.966888,cross_seed_generated_reranker,40,600,400,0.005,,19,0.044444,0.333333,0.044444,0.0,0.422222,0.422222,0.022222,0.0,0.133333,generated_2,learned,90,2048,0.874632,4,0.923252,180
0.522222,0.9361,0.277778,4,16,0.030787,0.037361,4,0.611111,0.929527,0.333333,19,pairwise,0.966888,cross_seed_margin_safe_reranker,40,600,400,0.005,1,19,0.044444,0.333333,0.044444,0.0,0.422222,0.422222,0.022222,0.0,0.133333,generated_2,learned,90,2048,0.874632,4,0.923252,180
0.588889,0.9361,1.0,4,16,0.0,0.006573,4,0.611111,0.929527,0.511111,19,pairwise,0.9361,base_oracle,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.444444,0.144444,0.022222,0.388889,generated_2,learned,90,2048,0.874632,4,0.923252,180
0.611111,0.9361,0.511111,4,16,-0.006573,0.0,4,0.611111,0.929527,1.0,19,pairwise,0.929527,generated_oracle,40,600,400,0.005,,19,0.077778,0.255556,0.088889,0.066667,0.488889,0.377778,0.0,0.0,0.133333,generated_2,learned,90,2048,0.874632,4,0.923252,180
0.511111,0.886832,0.044444,4,16,0.121504,0.133146,4,0.666667,0.87519,0.011111,23,pairwise,1.008336,cross_seed_static_base_choice,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.882355,4,0.920348,180
0.5,0.886832,0.0,4,16,0.113912,0.125554,4,0.666667,0.87519,0.088889,23,pairwise,1.000744,cross_seed_static_generated_choice,40,600,400,0.005,,23,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.882355,4,0.920348,180
0.488889,0.886832,0.288889,4,16,0.100754,0.112397,4,0.666667,0.87519,0.377778,23,pairwise,0.987587,cross_seed_generated_reranker,40,600,400,0.005,,23,0.122222,0.2,0.077778,0.0,0.4,0.411111,0.033333,0.022222,0.133333,generated_2,learned,90,2048,0.882355,4,0.920348,180
0.488889,0.886832,0.288889,4,16,0.100754,0.112397,4,0.666667,0.87519,0.377778,23,pairwise,0.987587,cross_seed_margin_safe_reranker,40,600,400,0.005,1,23,0.122222,0.2,0.077778,0.0,0.4,0.411111,0.033333,0.022222,0.133333,generated_2,learned,90,2048,0.882355,4,0.920348,180
0.655556,0.886832,1.0,4,16,0.0,0.011642,4,0.666667,0.87519,0.544444,23,pairwise,0.886832,base_oracle,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.377778,0.188889,0.044444,0.388889,generated_2,learned,90,2048,0.882355,4,0.920348,180
0.666667,0.886832,0.544444,4,16,-0.011642,0.0,4,0.666667,0.87519,1.0,23,pairwise,0.87519,generated_oracle,40,600,400,0.005,,23,0.022222,0.344444,0.088889,0.0,0.455556,0.366667,0.0,0.011111,0.166667,generated_2,learned,90,2048,0.882355,4,0.920348,180
0.466667,0.997236,0.044444,4,32,0.027318,0.034137,4,0.522222,0.990416,0.011111,11,pairwise,1.024553,cross_seed_static_base_choice,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.964895,4,0.985029,180
0.477778,0.997236,0.0,4,32,0.032442,0.039261,4,0.522222,0.990416,0.033333,11,pairwise,1.029677,cross_seed_static_generated_choice,40,600,400,0.005,,11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.964895,4,0.985029,180
0.444444,0.997236,0.288889,4,32,0.025409,0.032228,4,0.522222,0.990416,0.333333,11,pairwise,1.022644,cross_seed_generated_reranker,40,600,400,0.005,,11,0.088889,0.255556,0.088889,0.0,0.433333,0.444444,0.0,0.0,0.122222,generated_2,learned,90,2048,0.964895,4,0.985029,180
0.444444,0.997236,0.288889,4,32,0.025409,0.032228,4,0.522222,0.990416,0.333333,11,pairwise,1.022644,cross_seed_margin_safe_reranker,40,600,400,0.005,1,11,0.088889,0.255556,0.088889,0.0,0.433333,0.444444,0.0,0.0,0.122222,generated_2,learned,90,2048,0.964895,4,0.985029,180
0.511111,0.997236,1.0,4,32,0.0,0.006819,4,0.522222,0.990416,0.466667,11,pairwise,0.997236,base_oracle,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.377778,0.266667,0.044444,0.311111,generated_2,learned,90,2048,0.964895,4,0.985029,180
0.522222,0.997236,0.466667,4,32,-0.006819,0.0,4,0.522222,0.990416,1.0,11,pairwise,0.990416,generated_oracle,40,600,400,0.005,,11,0.077778,0.344444,0.033333,0.077778,0.533333,0.3,0.011111,0.011111,0.144444,generated_2,learned,90,2048,0.964895,4,0.985029,180
0.466667,0.962059,0.0,4,32,0.027092,0.031937,4,0.566667,0.957214,0.0,13,pairwise,0.989151,cross_seed_static_base_choice,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.96309,4,0.984442,180
0.477778,0.962059,0.0,4,32,0.026005,0.03085,4,0.566667,0.957214,0.1,13,pairwise,0.988064,cross_seed_static_generated_choice,40,600,400,0.005,,13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.96309,4,0.984442,180
0.477778,0.962059,0.266667,4,32,0.02862,0.033465,4,0.566667,0.957214,0.3,13,pairwise,0.990679,cross_seed_generated_reranker,40,600,400,0.005,,13,0.066667,0.233333,0.1,0.0,0.4,0.4,0.011111,0.0,0.188889,generated_2,learned,90,2048,0.96309,4,0.984442,180
0.477778,0.962059,0.266667,4,32,0.02862,0.033465,4,0.566667,0.957214,0.3,13,pairwise,0.990679,cross_seed_margin_safe_reranker,40,600,400,0.005,1,13,0.066667,0.233333,0.1,0.0,0.4,0.4,0.011111,0.0,0.188889,generated_2,learned,90,2048,0.96309,4,0.984442,180
0.555556,0.962059,1.0,4,32,0.0,0.004845,4,0.566667,0.957214,0.555556,13,pairwise,0.962059,base_oracle,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.455556,0.144444,0.0,0.4,generated_2,learned,90,2048,0.96309,4,0.984442,180
0.566667,0.962059,0.555556,4,32,-0.004845,0.0,4,0.566667,0.957214,1.0,13,pairwise,0.957214,generated_oracle,40,600,400,0.005,,13,0.033333,0.3,0.1,0.011111,0.444444,0.422222,0.011111,0.0,0.122222,generated_2,learned,90,2048,0.96309,4,0.984442,180
0.455556,0.990119,0.055556,4,32,0.015891,0.019177,4,0.544444,0.986833,0.011111,17,pairwise,1.00601,cross_seed_static_base_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.956713,4,0.980855,180
0.455556,0.990119,0.0,4,32,0.014898,0.018184,4,0.544444,0.986833,0.155556,17,pairwise,1.005017,cross_seed_static_generated_choice,40,600,400,0.005,,17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.956713,4,0.980855,180
0.5,0.990119,0.177778,4,32,0.018093,0.021379,4,0.544444,0.986833,0.233333,17,pairwise,1.008212,cross_seed_generated_reranker,40,600,400,0.005,,17,0.055556,0.266667,0.066667,0.0,0.388889,0.455556,0.033333,0.0,0.122222,generated_2,learned,90,2048,0.956713,4,0.980855,180
0.5,0.990119,0.177778,4,32,0.018093,0.021379,4,0.544444,0.986833,0.233333,17,pairwise,1.008212,cross_seed_margin_safe_reranker,40,600,400,0.005,1,17,0.055556,0.266667,0.066667,0.0,0.388889,0.455556,0.033333,0.0,0.122222,generated_2,learned,90,2048,0.956713,4,0.980855,180
0.544444,0.990119,1.0,4,32,0.0,0.003286,4,0.544444,0.986833,0.422222,17,pairwise,0.990119,base_oracle,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.322222,0.411111,0.055556,0.211111,generated_2,learned,90,2048,0.956713,4,0.980855,180
0.544444,0.990119,0.422222,4,32,-0.003286,0.0,4,0.544444,0.986833,1.0,17,pairwise,0.986833,generated_oracle,40,600,400,0.005,,17,0.111111,0.222222,0.155556,0.088889,0.577778,0.266667,0.033333,0.011111,0.111111,generated_2,learned,90,2048,0.956713,4,0.980855,180
0.5,0.968346,0.033333,4,32,0.034473,0.039846,4,0.555556,0.962972,0.0,19,pairwise,1.002818,cross_seed_static_base_choice,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.965263,4,0.985134,180
0.5,0.968346,0.0,4,32,0.033063,0.038437,4,0.555556,0.962972,0.055556,19,pairwise,1.001409,cross_seed_static_generated_choice,40,600,400,0.005,,19,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.965263,4,0.985134,180
0.5,0.968346,0.277778,4,32,0.037331,0.042705,4,0.555556,0.962972,0.355556,19,pairwise,1.005676,cross_seed_generated_reranker,40,600,400,0.005,,19,0.077778,0.2,0.033333,0.0,0.311111,0.588889,0.022222,0.011111,0.066667,generated_2,learned,90,2048,0.965263,4,0.985134,180
0.5,0.968346,0.277778,4,32,0.037331,0.042705,4,0.555556,0.962972,0.355556,19,pairwise,1.005676,cross_seed_margin_safe_reranker,40,600,400,0.005,1,19,0.077778,0.2,0.033333,0.0,0.311111,0.588889,0.022222,0.011111,0.066667,generated_2,learned,90,2048,0.965263,4,0.985134,180
0.555556,0.968346,1.0,4,32,0.0,0.005374,4,0.555556,0.962972,0.444444,19,pairwise,0.968346,base_oracle,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.366667,0.2,0.033333,0.4,generated_2,learned,90,2048,0.965263,4,0.985134,180
0.555556,0.968346,0.444444,4,32,-0.005374,0.0,4,0.555556,0.962972,1.0,19,pairwise,0.962972,generated_oracle,40,600,400,0.005,,19,0.077778,0.388889,0.055556,0.033333,0.555556,0.322222,0.011111,0.0,0.111111,generated_2,learned,90,2048,0.965263,4,0.985134,180
0.488889,0.954848,0.055556,4,32,0.043093,0.051761,4,0.7,0.94618,0.0,23,pairwise,0.997941,cross_seed_static_base_choice,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.960312,4,0.980167,180
0.522222,0.954848,0.0,4,32,0.040684,0.049352,4,0.7,0.94618,0.044444,23,pairwise,0.995532,cross_seed_static_generated_choice,40,600,400,0.005,,23,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.960312,4,0.980167,180
0.577778,0.954848,0.333333,4,32,0.034946,0.043614,4,0.7,0.94618,0.344444,23,pairwise,0.989794,cross_seed_generated_reranker,40,600,400,0.005,,23,0.055556,0.188889,0.1,0.0,0.344444,0.477778,0.011111,0.011111,0.155556,generated_2,learned,90,2048,0.960312,4,0.980167,180
0.577778,0.954848,0.333333,4,32,0.034946,0.043614,4,0.7,0.94618,0.344444,23,pairwise,0.989794,cross_seed_margin_safe_reranker,40,600,400,0.005,1,23,0.055556,0.188889,0.1,0.0,0.344444,0.477778,0.011111,0.011111,0.155556,generated_2,learned,90,2048,0.960312,4,0.980167,180
0.711111,0.954848,1.0,4,32,0.0,0.008668,4,0.7,0.94618,0.544444,23,pairwise,0.954848,base_oracle,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.4,0.211111,0.055556,0.333333,generated_2,learned,90,2048,0.960312,4,0.980167,180
